row_id,track_id,frame_no,timestamp,timestamp_sec,yolo_class,confidence,x1,y1,x2,y2,crop_emb_index,frame_emb_index
0,1,104,00:00:04,4.16,car,0.9302,147,183,322,275,0,0
1,2,104,00:00:04,4.16,car,0.9072,334,196,531,273,1,0
2,3,104,00:00:04,4.16,car,0.8797,477,196,599,268,2,0
3,4,104,00:00:04,4.16,car,0.8641,541,196,640,263,3,0
4,5,104,00:00:04,4.16,car,0.6036,279,197,349,249,4,0
5,11,400,00:00:16,16.0,truck,0.6962,0,188,88,251,5,1
6,7,406,00:00:16,16.24,car,0.5068,156,192,215,241,6,2
7,16,436,00:00:17,17.44,car,0.8394,288,199,359,266,7,3
8,19,490,00:00:19,19.6,car,0.595,585,196,640,253,8,4
9,20,934,00:00:37,37.36,person,0.8315,0,145,35,297,9,5
10,37,1040,00:00:41,41.6,backpack,0.6239,439,180,508,262,10,6
11,48,1072,00:00:42,42.88,car,0.6322,483,197,567,268,11,7
12,60,1094,00:00:43,43.76,car,0.5348,545,194,620,263,12,8
13,64,1098,00:00:43,43.92,skateboard,0.5756,584,237,640,290,13,9
14,70,1156,00:00:46,46.24,car,0.5047,316,198,382,250,14,10
15,71,1484,00:00:59,59.36,person,0.6303,605,187,640,268,15,11
16,74,1630,00:01:05,65.2,person,0.782,604,178,640,298,16,12
17,88,1658,00:01:06,66.32,car,0.5865,567,196,640,263,17,13
18,101,1718,00:01:08,68.72,car,0.7735,244,186,315,276,18,14
19,119,2538,00:01:41,101.52,car,0.5272,0,193,34,247,19,15
20,122,2552,00:01:42,102.08,truck,0.7582,0,188,78,250,20,16
21,126,2584,00:01:43,103.36,car,0.5072,101,198,200,259,21,17
22,130,2608,00:01:44,104.32,car,0.8414,281,207,345,267,22,18
